ride_id,date,time,day_of_week,hour,is_weekend,pickup_location,drop_location,vehicle_type,distance_km,trip_duration_min,payment_type,weather,surge_multiplier,ride_status,fare_amount,driver_rating,customer_rating
UB101432,2024-01-01,21:29,Monday,21,False,Suburb North,Downtown,UberX,1.06,6.9,UPI,Clear,1.0,Completed,81.2,4.8,4.5
UB119728,2024-01-01,22:19,Monday,22,False,Tech Park,University Area,Auto,9.13,23.7,UPI,Rain,1.2,Completed,146.09,5.0,4.9
UB119892,2024-01-01,22:41,Monday,22,False,Railway Station,Suburb North,UberXL,6.02,15.1,Card,Clear,1.0,Completed,196.52,4.8,4.6
UB108002,2024-01-02,00:12,Tuesday,0,False,Riverside,Airport,UberGo,7.0,22.2,Cash,Clear,1.0,Completed,150.3,4.4,4.9
UB107827,2024-01-02,01:22,Tuesday,1,False,Mall District,Tech Park,Auto,5.4,14.2,UPI,Clear,1.0,Completed,82.4,4.9,4.1
UB102376,2024-01-02,01:31,Tuesday,1,False,Suburb North,Tech Park,UberGo,2.52,4.8,Card,Cloudy,1.0,Completed,74.92,4.2,5.0
UB115301,2024-01-02,01:42,Tuesday,1,False,Riverside,University Area,UberGo,3.47,13.1,Wallet,Fog,1.0,Completed,97.82,5.0,5.0
UB117425,2024-01-02,02:42,Tuesday,2,False,University Area,Airport,Auto,5.23,15.9,UPI,Rain,1.0,Completed,82.74,4.4,5.0
UB102636,2024-01-02,06:05,Tuesday,6,False,Suburb North,Old City,Auto,12.79,49.4,UPI,Cloudy,1.0,Completed,176.72,4.6,5.0
UB105479,2024-01-02,06:19,Tuesday,6,False,Suburb South,Railway Station,UberGo,3.1,7.3,UPI,Clear,1.0,Completed,85.05,5.0,4.9
UB115444,2024-01-02,06:25,Tuesday,6,False,Downtown,Mall District,UberX,5.1,13.1,UPI,Fog,1.0,Completed,144.88,4.4,4.6
UB101375,2024-01-02,06:56,Tuesday,6,False,Railway Station,Airport,UberGo,3.83,9.9,Card,Clear,1.0,Completed,96.98,5.0,4.6
UB119177,2024-01-02,07:01,Tuesday,7,False,Railway Station,Riverside,Auto,2.58,4.9,Card,Clear,1.0,Completed,50.54,4.4,5.0
UB101394,2024-01-02,07:13,Tuesday,7,False,Old City,Suburb North,UberGo,3.65,16.6,Cash,Cloudy,1.0,No Cars Available,0.0,,
UB106202,2024-01-02,07:47,Tuesday,7,False,Old City,Suburb South,UberX,9.3,29.7,UPI,Fog,1.0,Completed,229.36,4.2,4.9
UB110909,2024-01-02,08:00,Tuesday,8,False,University Area,Suburb North,UberGo,12.41,33.3,Card,Clear,1.0,Completed,226.46,4.3,4.6
UB105704,2024-01-02,08:18,Tuesday,8,False,Riverside,Suburb South,UberXL,21.07,78.7,Card,Cloudy,1.2,Completed,677.42,4.5,4.6
UB106078,2024-01-02,08:22,Tuesday,8,False,University Area,Mall District,Auto,5.39,17.2,Wallet,Clear,1.0,Completed,85.32,4.7,4.5
UB115868,2024-01-02,08:29,Tuesday,8,False,Airport,Suburb South,UberGo,3.0,11.7,UPI,Cloudy,1.0,No Cars Available,0.0,,
UB104216,2024-01-02,08:33,Tuesday,8,False,Old City,Riverside,Auto,5.22,20.4,UPI,Clear,1.0,Completed,87.16,4.4,4.8
UB107320,2024-01-02,08:37,Tuesday,8,False,Riverside,Mall District,UberXL,3.48,12.2,Wallet,Clear,1.0,No Cars Available,0.0,,
UB105988,2024-01-02,09:20,Tuesday,9,False,Tech Park,Downtown,Auto,4.79,13.5,UPI,Clear,1.5,Completed,115.23,4.4,4.7
UB118977,2024-01-02,09:23,Tuesday,9,False,Airport,Suburb South,Auto,6.12,20.6,Card,Clear,1.8,Completed,170.21,5.0,5.0
UB100428,2024-01-02,09:25,Tuesday,9,False,Riverside,University Area,UberX,13.18,38.3,Wallet,Cloudy,1.8,Completed,531.5,4.8,4.5
UB102248,2024-01-02,09:26,Tuesday,9,False,Tech Park,Airport,UberGo,5.5,27.4,UPI,Fog,1.8,Completed,254.88,4.6,4.9
UB108309,2024-01-02,09:33,Tuesday,9,False,Old City,Riverside,Auto,3.52,7.0,Wallet,Clear,1.2,Completed,72.19,4.4,4.8
UB111231,2024-01-02,09:36,Tuesday,9,False,Tech Park,Old City,Moto,5.75,15.9,UPI,Clear,1.0,No Cars Available,0.0,,
UB118720,2024-01-02,09:39,Tuesday,9,False,Suburb North,Riverside,UberGo,6.68,18.6,Card,Clear,1.2,Completed,169.66,4.2,4.8
UB105775,2024-01-02,09:45,Tuesday,9,False,Suburb South,Riverside,UberGo,2.72,6.0,Card,Clear,1.2,Completed,94.7,4.9,4.7
UB109834,2024-01-02,10:03,Tuesday,10,False,Suburb South,Tech Park,UberX,1.73,6.0,Cash,Clear,1.0,Completed,88.29,4.6,4.0
UB113891,2024-01-02,10:05,Tuesday,10,False,Riverside,Suburb North,UberX,8.95,36.1,Card,Clear,1.0,No Cars Available,0.0,,
UB109494,2024-01-02,10:14,Tuesday,10,False,Airport,Suburb North,UberX,1.27,4.7,UPI,Clear,1.0,Completed,79.97,4.9,4.7
UB117193,2024-01-02,10:30,Tuesday,10,False,Suburb North,Airport,UberGo,10.88,31.1,UPI,Rain,1.0,Cancelled by Rider,0.0,,
UB109467,2024-01-02,10:51,Tuesday,10,False,University Area,Railway Station,UberX,8.64,23.4,Card,Cloudy,1.0,Completed,209.44,3.9,5.0
UB117052,2024-01-02,11:01,Tuesday,11,False,Riverside,Old City,UberGo,6.66,23.8,Cash,Cloudy,1.0,Completed,148.96,4.4,4.5
UB101069,2024-01-02,11:13,Tuesday,11,False,Airport,Railway Station,UberGo,11.98,43.8,Cash,Clear,1.0,No Cars Available,0.0,,
UB112016,2024-01-02,12:00,Tuesday,12,False,Downtown,Tech Park,UberGo,4.85,7.5,Card,Clear,1.0,Completed,104.6,4.1,4.3
UB110105,2024-01-02,12:19,Tuesday,12,False,Mall District,Downtown,Auto,9.62,23.3,Card,Clear,1.0,Completed,125.26,4.5,5.0
UB113929,2024-01-02,13:14,Tuesday,13,False,Suburb South,Mall District,Auto,5.29,12.2,Wallet,Clear,1.0,Completed,79.52,4.6,4.6
UB104001,2024-01-02,15:04,Tuesday,15,False,Old City,Airport,UberX,4.6,12.7,Cash,Cloudy,1.0,Completed,137.66,4.2,4.7
UB116498,2024-01-02,16:04,Tuesday,16,False,Airport,Tech Park,Premier,6.02,21.0,UPI,Clear,1.0,Completed,228.54,4.3,4.9
UB101733,2024-01-02,16:14,Tuesday,16,False,Tech Park,Airport,Premier,5.31,19.3,UPI,Clear,1.0,Completed,212.73,4.9,4.8
UB118790,2024-01-02,16:29,Tuesday,16,False,Tech Park,Downtown,UberX,3.1,6.0,Wallet,Rain,1.0,Completed,106.1,4.3,4.7
UB108973,2024-01-02,16:45,Tuesday,16,False,Suburb North,University Area,Auto,11.13,40.3,Card,Fog,1.0,Completed,154.34,4.4,4.7
UB105040,2024-01-02,16:46,Tuesday,16,False,Mall District,Suburb South,Premier,5.91,16.3,Card,Cloudy,1.0,No Cars Available,0.0,,
UB115366,2024-01-02,17:33,Tuesday,17,False,Suburb North,Railway Station,UberGo,6.99,24.0,Card,Clear,1.0,Completed,152.89,4.6,4.6
UB117889,2024-01-02,17:48,Tuesday,17,False,Mall District,Old City,UberX,5.5,14.0,Wallet,Clear,1.0,Completed,151.7,4.2,5.0
UB119482,2024-01-02,17:57,Tuesday,17,False,University Area,Airport,Premier,4.37,13.9,UPI,Clear,1.0,Completed,184.87,3.6,4.8
UB108262,2024-01-02,18:01,Tuesday,18,False,Old City,Tech Park,Moto,7.25,20.0,Card,Clear,1.2,Completed,89.4,4.3,4.6
UB106484,2024-01-02,18:10,Tuesday,18,False,Railway Station,Suburb North,UberGo,0.8,3.0,Cash,Rain,1.5,Completed,79.95,4.1,4.4
UB106700,2024-01-02,18:24,Tuesday,18,False,Downtown,Tech Park,Auto,8.79,24.0,Card,Clear,1.2,Completed,143.18,4.4,4.8
UB111381,2024-01-02,18:29,Tuesday,18,False,Old City,Suburb North,UberXL,4.53,18.2,UPI,Clear,1.0,Completed,178.88,4.6,4.1
UB101777,2024-01-02,18:50,Tuesday,18,False,Tech Park,Mall District,Auto,6.76,30.4,Cash,Clear,1.5,Completed,164.22,4.7,4.5
UB109832,2024-01-02,19:03,Tuesday,19,False,Old City,Tech Park,Auto,5.18,17.0,Card,Clear,1.0,Completed,83.44,4.4,5.0
UB108559,2024-01-02,19:06,Tuesday,19,False,Airport,Suburb North,Premier,5.03,14.9,UPI,Clear,1.2,Cancelled by Rider,0.0,,
UB119908,2024-01-02,19:22,Tuesday,19,False,Suburb North,Airport,UberGo,6.96,26.3,Card,Cloudy,1.0,Completed,156.01,4.5,4.9
UB112368,2024-01-02,19:43,Tuesday,19,False,Downtown,Tech Park,UberX,12.5,43.6,UPI,Clear,1.8,Completed,532.76,4.4,4.6
UB100332,2024-01-02,19:57,Tuesday,19,False,Airport,Suburb South,Auto,7.12,23.1,UPI,Cloudy,1.0,Completed,105.06,4.3,4.4
UB113210,2024-01-02,19:58,Tuesday,19,False,University Area,Airport,UberGo,15.35,49.6,Card,Cloudy,1.0,Completed,283.25,4.9,4.6
UB105065,2024-01-02,20:08,Tuesday,20,False,University Area,Airport,UberX,5.87,11.7,Cash,Clear,1.0,Completed,152.37,4.5,4.8
UB113675,2024-01-02,20:34,Tuesday,20,False,Tech Park,Airport,UberX,0.99,3.0,UPI,Clear,1.0,Completed,73.27,4.6,5.0
UB117269,2024-01-02,20:36,Tuesday,20,False,Suburb South,Airport,UberGo,10.66,22.3,UPI,Rain,1.5,Completed,286.06,4.3,5.0
UB103788,2024-01-02,20:51,Tuesday,20,False,Old City,Mall District,UberGo,2.14,5.1,Cash,Cloudy,1.0,No Cars Available,0.0,,
UB104919,2024-01-02,21:15,Tuesday,21,False,Suburb North,Airport,UberXL,4.2,8.2,Cash,Clear,1.0,Completed,153.6,4.9,4.6
UB102699,2024-01-02,21:38,Tuesday,21,False,Riverside,Suburb South,Auto,2.0,7.4,UPI,Clear,1.0,Completed,48.4,4.7,5.0
UB100066,2024-01-02,21:46,Tuesday,21,False,Riverside,Old City,UberX,6.63,26.9,UPI,Clear,1.0,Completed,189.61,4.2,4.7
UB106385,2024-01-02,22:34,Tuesday,22,False,Railway Station,Downtown,UberX,4.18,10.7,Wallet,Clear,1.0,Completed,128.6,4.7,5.0
UB105348,2024-01-02,22:55,Tuesday,22,False,Downtown,Airport,UberGo,4.52,22.9,Card,Rain,1.0,No Cars Available,0.0,,
UB101167,2024-01-03,00:14,Wednesday,0,False,Tech Park,Old City,Premier,3.78,15.4,Card,Clear,1.0,Completed,178.14,5.0,4.5
UB114677,2024-01-03,01:39,Wednesday,1,False,Downtown,University Area,Auto,4.49,14.4,Cash,Cloudy,1.0,Completed,75.32,4.8,4.6
UB109492,2024-01-03,02:01,Wednesday,2,False,Suburb North,Suburb South,UberX,5.66,20.3,Card,Rain,1.0,Completed,165.12,4.7,4.4
UB107136,2024-01-03,04:31,Wednesday,4,False,Airport,Tech Park,UberGo,5.62,20.7,UPI,Clear,1.0,Completed,132.87,4.3,4.2
UB115867,2024-01-03,06:18,Wednesday,6,False,Mall District,Suburb South,UberGo,2.5,3.7,Cash,Clear,1.0,Completed,73.05,4.6,4.6
UB102211,2024-01-03,06:32,Wednesday,6,False,Suburb North,Old City,UberX,9.03,31.3,UPI,Clear,1.0,Completed,228.73,3.9,4.8
UB102669,2024-01-03,07:22,Wednesday,7,False,Railway Station,Tech Park,Premier,4.78,14.0,Card,Rain,1.5,Completed,288.09,4.3,5.0
UB112823,2024-01-03,08:33,Wednesday,8,False,Suburb North,Airport,UberGo,5.61,15.9,Card,Rain,1.0,Completed,125.56,4.7,4.5
UB115337,2024-01-03,08:49,Wednesday,8,False,Suburb North,Airport,Premier,6.4,26.7,UPI,Clear,1.0,Completed,247.54,4.6,4.6
UB114022,2024-01-03,08:50,Wednesday,8,False,Airport,Railway Station,UberXL,1.09,3.0,Wallet,Clear,1.5,Completed,140.16,4.5,4.8
UB102862,2024-01-03,09:01,Wednesday,9,False,Downtown,Railway Station,UberGo,5.29,16.5,UPI,Cloudy,1.0,Completed,122.94,5.0,4.8
UB114400,2024-01-03,09:14,Wednesday,9,False,Mall District,Riverside,UberGo,12.03,30.0,Card,Fog,1.0,Completed,217.33,4.8,4.6
UB104097,2024-01-03,09:39,Wednesday,9,False,Airport,Mall District,UberX,5.6,12.4,UPI,Cloudy,1.0,Cancelled by Driver,0.0,,
UB116113,2024-01-03,09:41,Wednesday,9,False,Mall District,Railway Station,Moto,2.35,6.7,Cash,Clear,1.5,Completed,51.69,4.4,4.9
UB116791,2024-01-03,09:59,Wednesday,9,False,Riverside,Suburb North,Auto,3.95,9.3,Cash,Clear,2.0,Completed,131.8,4.5,5.0
UB115932,2024-01-03,10:36,Wednesday,10,False,Airport,Railway Station,Premier,10.37,22.8,UPI,Clear,1.0,Completed,306.45,3.9,4.8
UB106766,2024-01-03,10:38,Wednesday,10,False,Airport,Railway Station,UberX,4.36,12.6,Wallet,Clear,1.0,Completed,134.36,4.9,5.0
UB113470,2024-01-03,10:56,Wednesday,10,False,Mall District,Downtown,Auto,1.15,4.1,Card,Clear,1.0,Completed,38.3,4.4,4.8
UB110367,2024-01-03,11:05,Wednesday,11,False,Railway Station,Old City,Moto,4.68,13.8,Cash,Cloudy,1.0,Completed,54.12,5.0,4.7
UB112867,2024-01-03,11:35,Wednesday,11,False,University Area,Old City,Premier,8.15,33.8,Card,Cloudy,1.0,Completed,292.91,4.6,5.0
UB114767,2024-01-03,12:52,Wednesday,12,False,Suburb South,Mall District,Auto,2.84,3.7,Cash,Clear,1.0,Completed,51.42,4.2,4.9
UB110527,2024-01-03,12:56,Wednesday,12,False,Riverside,Airport,UberGo,10.17,41.0,Card,Cloudy,1.0,Completed,213.37,4.6,4.6
UB107455,2024-01-03,13:15,Wednesday,13,False,Riverside,Airport,UberGo,7.38,22.4,UPI,Cloudy,1.0,Completed,154.78,5.0,4.9
UB111764,2024-01-03,14:14,Wednesday,14,False,Suburb South,Downtown,UberXL,7.01,26.3,UPI,Clear,1.0,Completed,234.76,5.0,4.7
UB100347,2024-01-03,15:09,Wednesday,15,False,Mall District,Downtown,Auto,4.27,9.1,Card,Cloudy,1.0,Completed,68.26,4.3,4.4
UB118965,2024-01-03,16:00,Wednesday,16,False,Suburb North,Downtown,Moto,10.58,33.7,Cash,Cloudy,1.0,Completed,105.44,5.0,4.8
UB108516,2024-01-03,16:14,Wednesday,16,False,Old City,Suburb North,UberXL,2.46,12.0,Card,Clear,1.0,Completed,133.36,4.3,4.3
UB107308,2024-01-03,16:25,Wednesday,16,False,Tech Park,Suburb South,UberX,7.52,21.6,Cash,Cloudy,1.0,Completed,191.64,4.2,4.6
UB118656,2024-01-03,16:45,Wednesday,16,False,Suburb South,Airport,UberXL,3.04,8.5,UPI,Clear,1.0,Completed,135.64,4.0,4.8
UB111343,2024-01-03,16:48,Wednesday,16,False,University Area,Airport,Auto,3.37,6.5,UPI,Cloudy,1.0,Completed,58.46,4.6,4.5
UB111590,2024-01-03,17:11,Wednesday,17,False,Tech Park,Downtown,UberXL,6.74,17.6,Cash,Rain,1.8,Completed,383.47,4.1,5.0
UB118279,2024-01-03,17:34,Wednesday,17,False,Suburb North,Airport,UberX,5.43,16.9,Card,Fog,1.0,Completed,156.01,4.6,4.4
UB105218,2024-01-03,17:54,Wednesday,17,False,Suburb North,Mall District,Moto,2.9,8.0,UPI,Cloudy,1.0,Completed,38.8,5.0,4.2
UB107505,2024-01-03,17:57,Wednesday,17,False,Old City,Suburb South,UberX,5.29,14.0,Cash,Clear,1.0,Completed,148.97,5.0,4.8
UB110620,2024-01-03,17:58,Wednesday,17,False,Downtown,Suburb North,Moto,8.23,25.5,Card,Cloudy,1.0,Cancelled by Rider,0.0,,
UB116548,2024-01-03,18:01,Wednesday,18,False,Riverside,University Area,Premier,12.19,38.5,UPI,Rain,1.0,Completed,371.93,4.1,4.9
UB100743,2024-01-03,18:45,Wednesday,18,False,University Area,Suburb North,Premier,6.67,26.0,Wallet,Clear,1.0,Completed,250.59,4.8,4.8
UB119071,2024-01-03,18:52,Wednesday,18,False,Suburb North,Old City,UberGo,5.52,19.3,UPI,Clear,1.5,Completed,194.51,5.0,4.6
UB117668,2024-01-03,19:22,Wednesday,19,False,Suburb South,University Area,Premier,3.06,11.6,UPI,Cloudy,2.0,Completed,315.08,4.7,4.1
UB107027,2024-01-03,19:50,Wednesday,19,False,Downtown,University Area,Moto,3.26,11.0,Cash,Cloudy,1.8,Completed,78.05,5.0,4.6
UB108792,2024-01-03,19:55,Wednesday,19,False,Suburb South,Suburb North,Premier,10.72,27.6,UPI,Cloudy,1.0,Cancelled by Driver,0.0,,
UB102671,2024-01-03,19:59,Wednesday,19,False,Suburb North,Tech Park,Moto,8.49,29.1,Cash,Cloudy,1.5,Completed,133.83,4.8,4.9
UB111211,2024-01-03,20:21,Wednesday,20,False,Suburb North,Riverside,UberGo,6.43,15.9,UPI,Clear,1.0,Completed,134.58,4.1,4.7
UB118061,2024-01-03,20:41,Wednesday,20,False,Riverside,Suburb South,UberX,3.54,8.2,Card,Cloudy,1.0,Completed,115.78,4.4,4.7
UB118049,2024-01-03,21:27,Wednesday,21,False,Old City,Suburb South,Moto,2.06,8.6,UPI,Clear,1.0,Completed,34.24,5.0,4.7
UB115208,2024-01-03,21:51,Wednesday,21,False,Tech Park,Railway Station,Auto,1.4,3.0,Card,Clear,1.0,Completed,39.2,5.0,4.8
UB100906,2024-01-03,21:52,Wednesday,21,False,Suburb North,Old City,Auto,11.73,26.2,Card,Cloudy,1.0,Completed,145.04,4.6,4.6
UB104013,2024-01-03,22:10,Wednesday,22,False,University Area,Railway Station,UberX,2.74,5.9,Card,Cloudy,1.0,Completed,101.24,4.4,5.0
UB103759,2024-01-03,22:13,Wednesday,22,False,Downtown,University Area,UberGo,1.1,3.0,Card,Clear,1.0,Completed,56.6,4.9,5.0
UB102727,2024-01-03,23:45,Wednesday,23,False,Riverside,Suburb South,Auto,4.98,23.2,Cash,Clear,1.0,No Cars Available,0.0,,
UB115774,2024-01-04,00:13,Thursday,0,False,Tech Park,Riverside,Moto,7.87,31.6,UPI,Clear,1.0,Completed,87.5,4.2,5.0
UB115507,2024-01-04,00:32,Thursday,0,False,Airport,Suburb South,UberX,8.6,19.8,Cash,Cloudy,1.0,Completed,202.44,4.9,4.6
UB115241,2024-01-04,04:51,Thursday,4,False,Old City,Suburb North,UberX,4.87,16.9,Wallet,Cloudy,1.0,Completed,148.73,4.7,5.0
UB100776,2024-01-04,05:55,Thursday,5,False,Riverside,Suburb South,UberGo,7.46,29.1,Card,Rain,1.2,Completed,198.85,4.7,4.9
UB117912,2024-01-04,06:30,Thursday,6,False,University Area,Airport,UberXL,8.61,38.0,Cash,Clear,1.0,No Cars Available,0.0,,
UB102794,2024-01-04,07:01,Thursday,7,False,Tech Park,University Area,UberGo,3.1,11.1,UPI,Cloudy,1.0,No Cars Available,0.0,,
UB114945,2024-01-04,07:37,Thursday,7,False,Downtown,Suburb South,UberGo,7.67,29.0,Card,Clear,1.0,Completed,167.87,4.4,4.7
UB114568,2024-01-04,07:49,Thursday,7,False,Mall District,University Area,Auto,3.42,8.0,Wallet,Clear,1.0,Completed,60.36,4.9,4.8
UB115581,2024-01-04,08:16,Thursday,8,False,Railway Station,Tech Park,UberGo,3.33,5.8,UPI,Clear,1.2,Completed,102.4,4.4,4.0
UB106367,2024-01-04,08:29,Thursday,8,False,Downtown,Tech Park,Moto,10.94,42.5,UPI,Clear,1.2,Completed,137.57,4.8,4.7
UB108553,2024-01-04,09:05,Thursday,9,False,Riverside,Suburb South,UberX,2.8,11.2,Card,Cloudy,1.0,Completed,111.56,4.2,4.3
UB119611,2024-01-04,09:05,Thursday,9,False,Airport,Old City,Premier,16.42,59.4,Cash,Rain,1.0,Completed,489.82,4.5,4.8
UB108171,2024-01-04,09:17,Thursday,9,False,Old City,Tech Park,UberX,5.56,12.0,Card,Rain,1.2,No Cars Available,0.0,,
UB111394,2024-01-04,09:19,Thursday,9,False,Tech Park,Airport,Auto,4.56,16.4,UPI,Cloudy,1.5,Completed,116.82,4.8,4.6
UB101724,2024-01-04,09:23,Thursday,9,False,Airport,Downtown,UberGo,2.39,8.6,UPI,Cloudy,1.2,Cancelled by Driver,0.0,,
UB112301,2024-01-04,09:23,Thursday,9,False,Old City,Mall District,Premier,0.96,3.0,Wallet,Cloudy,1.0,Cancelled by Driver,0.0,,
UB118612,2024-01-04,09:23,Thursday,9,False,Airport,Suburb North,UberX,2.47,7.4,UPI,Cloudy,1.2,Completed,120.52,4.8,4.8
UB106439,2024-01-04,09:33,Thursday,9,False,University Area,Suburb North,UberGo,4.55,11.9,UPI,Clear,1.2,Completed,129.48,4.2,4.8
UB112233,2024-01-04,09:40,Thursday,9,False,Railway Station,Mall District,Auto,9.79,30.6,UPI,Fog,1.5,Completed,200.88,5.0,4.5
UB102891,2024-01-04,10:26,Thursday,10,False,Old City,Tech Park,UberX,0.84,3.0,Card,Clear,1.0,Completed,71.32,4.9,5.0
UB119401,2024-01-04,10:26,Thursday,10,False,Suburb North,Riverside,UberGo,8.49,25.7,UPI,Cloudy,1.0,Completed,171.94,4.9,4.7
